codigo,abreviatura,estado,pre2012,inc2012,ins2013,pre2011,inc2011,ins2012,pre2010,inc2010,ins2011
0,NAC,Estados Unidos Mexicanos,27337.4485,35139.1491,72.3225,24498.7900,29371.6382,66.5960,23956.3198,30489.7318,69.5278
1,AGU,Aguascalientes,27224.9272,32367.8941,51.8074,25664.5485,25063.6886,46.4720,36387.0272,56496.1919,60.8487
2,BCN,Baja California,36579.4858,39296.7319,51.4879,30587.5627,29450.6796,51.2355,30753.1578,31681.8288,58.2504
3,BCS,Baja California Sur,27043.3987,31048.8702,30.1101,27019.4837,29046.8332,24.4692,23327.5309,25794.1442,37.0541
4,CAM,Campeche,21990.9153,29097.3200,56.7092,17280.1448,21911.4052,44.3895,17321.3007,20972.7013,51.1301
5,COA,Coahuila de Zaragoza,19540.2952,17870.3716,81.9856,22944.6316,26555.2597,74.6358,25249.8623,29253.2642,64.5432
6,COL,Colima,24907.6595,25168.6396,71.1305,22193.0164,23890.1270,70.3144,17137.9042,17413.4404,65.9663
7,CHP,Chiapas,12620.1394,12826.9272,50.9569,12620.9902,13830.6775,37.9796,12855.7293,15089.8930,38.3134
8,CHH,Chihuahua,32567.2758,35951.5759,78.0482,30454.8601,30681.1505,82.7319,34826.0201,40416.6489,89.3864
9,DIF,Distrito Federal,31675.2513,49198.2163,73.0066,33256.1026,40632.7352,70.7934,32495.3773,44443.4349,75.4563
10,DUR,Durango,24231.9322,27630.8647,77.7808,20110.7648,21803.3012,81.8797,20598.2986,23791.7576,88.0964
11,GUA,Guanajuato,28860.7590,34391.4496,58.8301,24752.6364,27116.1618,54.6635,20889.7257,23103.6300,54.3436
12,GRO,Guerrero,26789.3681,33761.7180,86.9146,20496.9853,27326.2968,74.7178,20172.3074,33500.2647,72.7057
13,HID,Hidalgo,19451.3613,21873.6052,56.3478,21821.1301,25851.7338,48.6052,20699.1963,23254.7379,54.7825
14,JAL,Jalisco,31861.4402,49083.0901,75.8582,26180.8412,30087.6090,61.4983,24452.2640,32846.7507,71.1487
15,MEX,Estado de México,41048.0570,56751.9880,90.6968,31018.1470,39904.9835,84.5817,27907.7742,32886.1943,83.9186
16,MIC,Michoacán de Ocampo,20354.4986,24362.4509,80.2772,21039.6587,25052.4214,76.0145,14930.7038,15215.2136,76.0166
17,MOR,Morelos,29310.3821,35750.0498,86.4684,22982.3598,25886.5127,81.1938,21925.4243,29026.8660,80.7972
18,NAY,Nayarit,19168.6575,26005.8939,56.6158,20876.7610,28952.1984,72.8553,23223.6623,31932.7778,79.1571
19,NLE,Nuevo León,31315.5870,37076.3756,80.1563,24990.7595,28508.1424,86.6804,27310.1122,36825.3165,84.4660
20,OAX,Oaxaca,14335.2264,18008.5742,66.8658,18129.4908,22209.7040,60.5131,16262.3734,25202.0833,73.2398
21,PUE,Puebla,22732.7957,27317.7753,63.3206,23052.5954,30061.5804,57.7643,21706.9968,24116.0585,64.4638
22,QUE,Querétaro,24001.7500,27197.2871,41.1049,21575.8593,23527.1867,28.8391,19675.4690,19694.4345,29.6547
23,QROO,Quintana Roo,29702.8369,40279.3858,69.9520,26829.2959,38105.5541,59.9136,28740.1014,41461.3688,63.8804
24,SLP,San Luis Potosí,26809.5931,35123.6939,77.8433,24847.1931,34065.5387,59.9901,22636.3059,31082.2189,76.5300
25,SIN,Sinaloa,26140.9365,33231.0264,77.6846,23947.8145,30030.9280,77.5021,26373.4332,34547.5600,80.8666
26,SON,Sonora,29130.7582,34126.1071,52.4615,29973.7405,38760.9287,42.1321,29285.2089,47909.2987,46.1239
27,TAB,Tabasco,20836.8469,24368.2869,83.4370,19612.0855,21860.6838,71.3813,25073.9092,32830.8256,77.8167
28,TAM,Tamaulipas,21406.7371,25254.5817,84.0643,18125.7921,20543.6026,83.2869,22647.3174,27155.5029,83.4155
29,TLA,Tlaxcala,18150.2041,18529.8011,52.0783,18362.2387,22675.0312,40.0717,20720.8407,26337.2310,41.4889
30,VER,Veracruz de Ignacio de la Llave,18732.6329,23411.4529,75.3749,17820.3334,22829.4465,70.0783,16436.9540,19165.3686,65.1335
31,YUC,Yucatán,19547.9813,22945.0175,32.2172,14831.6556,16620.4984,19.1970,17825.9397,38634.7035,26.3991
32,ZAC,Zacatecas,20336.8394,20505.9804,84.6907,21146.2913,19790.1586,80.1473,22747.0273,30087.0360,83.0420
